Date,Closing Price (USD)
17/07/2017,1986.94
18/07/2017,2189.24
19/07/2017,2354.89
20/07/2017,2349.36
21/07/2017,2740.57
22/07/2017,2738.78
23/07/2017,2831.68
24/07/2017,2772.37
25/07/2017,2768.80
26/07/2017,2540.21
27/07/2017,2570.20
28/07/2017,2699.72
29/07/2017,2719.69
30/07/2017,2714.70
31/07/2017,2718.62
08/01/2017,2867.65
08/02/2017,2739.71
08/03/2017,2740.07
08/04/2017,2811.71
08/05/2017,3123.41
08/06/2017,3254.71
08/07/2017,3274.64
08/08/2017,3474.76
08/09/2017,3416.19
08/10/2017,3364.41
08/11/2017,3451.85
08/12/2017,3705.43
13/08/2017,4104.02
14/08/2017,4036.76
15/08/2017,4462.68
16/08/2017,4118.90
17/08/2017,4322.42
18/08/2017,4311.69
19/08/2017,4180.24
20/08/2017,4139.38
21/08/2017,4110.94
22/08/2017,3911.28
23/08/2017,4162.79
24/08/2017,4178.76
25/08/2017,4396.03
26/08/2017,4359.90
27/08/2017,4381.40
28/08/2017,4340.46
29/08/2017,4442.66
30/08/2017,4664.64
31/08/2017,4676.14
09/01/2017,4783.17
09/02/2017,4864.29
09/03/2017,4672.57
09/04/2017,4593.18
09/05/2017,4160.54
09/06/2017,4517.57
09/07/2017,4543.10
09/08/2017,4628.60
09/09/2017,4280.98
09/10/2017,4194.22
09/11/2017,4307.83
09/12/2017,4295.76
13/09/2017,3944.58
14/09/2017,3817.06
15/09/2017,3358.11
16/09/2017,3772.68
17/09/2017,3608.60
18/09/2017,3764.62
19/09/2017,3976.39
20/09/2017,3863.19
21/09/2017,3827.69
22/09/2017,3690.99
23/09/2017,3612.16
24/09/2017,3772.85
25/09/2017,3753.44
26/09/2017,3920.99
27/09/2017,3939.52
28/09/2017,4220.28
29/09/2017,4062.20
30/09/2017,4207.83
10/01/2017,4300.55
10/02/2017,4414.18
10/03/2017,4424.47
10/04/2017,4307.56
10/05/2017,4186.78
10/06/2017,4325.24
10/07/2017,4370.17
10/08/2017,4446.17
10/09/2017,4624.35
10/10/2017,4789.30
10/11/2017,4741.71
10/12/2017,4858.60
13/10/2017,5728.55
14/10/2017,5666.98
15/10/2017,5779.07
16/10/2017,5607.01
17/10/2017,5643.55
18/10/2017,5495.04
19/10/2017,5627.09
20/10/2017,5686.53
21/10/2017,6098.12
22/10/2017,5949.08
23/10/2017,5969.80
24/10/2017,5649.01
25/10/2017,5550.86
26/10/2017,5776.88
27/10/2017,5923.71
28/10/2017,5737.10
29/10/2017,5741.72
30/10/2017,6151.33
31/10/2017,6130.56
11/01/2017,6424.52
11/02/2017,6879.37
11/03/2017,7199.24
11/04/2017,7210.47
11/05/2017,7376.74
11/06/2017,7231.93
11/07/2017,7123.89
11/08/2017,7356.51
11/09/2017,7342.82
11/10/2017,7250.77
11/11/2017,6773.70
11/12/2017,6075.30
13/11/2017,5969.13
14/11/2017,6666.27
15/11/2017,6867.43
16/11/2017,7259.30
17/11/2017,7924.18
18/11/2017,7598.28
19/11/2017,7787.46
20/11/2017,7954.77
21/11/2017,7879.06
22/11/2017,8150.63
23/11/2017,8208.75
24/11/2017,8094.45
25/11/2017,8190.87
26/11/2017,8851.31
27/11/2017,9573.97
28/11/2017,9713.10
29/11/2017,10295.62
30/11/2017,10542.66
12/01/2017,9706.10
12/02/2017,10923.20
12/03/2017,10973.54
12/04/2017,11382.21
12/05/2017,11597.23
12/06/2017,12230.37
12/07/2017,13734.52
12/08/2017,16403.42
12/09/2017,15732.10
12/10/2017,13152.53
12/11/2017,16299.30
12/12/2017,16374.90
13/12/2017,16678.29
14/12/2017,16246.14
15/12/2017,17221.65
16/12/2017,17436.60
17/12/2017,19166.98
18/12/2017,18640.26
19/12/2017,18984.77
20/12/2017,16862.57
21/12/2017,16925.02
22/12/2017,14182.46
23/12/2017,14694.58
24/12/2017,14103.22
25/12/2017,13387.35
26/12/2017,14652.37
27/12/2017,15846.07
28/12/2017,14362.40
29/12/2017,14867.57
30/12/2017,13643.70
31/12/2017,13062.15
01/01/2018,13439.42
01/02/2018,13337.62
01/03/2018,14881.55
01/04/2018,15104.45
01/05/2018,14953.85
01/06/2018,16576.70
01/07/2018,16735.11
01/08/2018,15632.41
01/09/2018,15242.94
01/10/2018,14122.83
01/11/2018,13269.60
01/12/2018,13633.36
13/01/2018,14165.91
14/01/2018,14217.36
15/01/2018,13519.93
16/01/2018,12915.12
17/01/2018,10870.17
18/01/2018,11340.65
19/01/2018,11137.37
20/01/2018,11742.94
21/01/2018,12486.07
22/01/2018,11508.62
23/01/2018,10872.90
24/01/2018,10830.93
25/01/2018,11629.38
26/01/2018,11524.35
27/01/2018,11005.62
28/01/2018,11452.23
29/01/2018,11412.79
30/01/2018,10917.15
31/01/2018,9914.47
02/01/2018,9970.31
02/02/2018,8715.59
02/03/2018,8285.50
02/04/2018,9192.05
02/05/2018,8136.39
02/06/2018,6332.37
02/07/2018,7270.51
02/08/2018,7987.28
02/09/2018,8086.77
02/10/2018,8930.14
02/11/2018,8045.44
02/12/2018,8478.92
13/02/2018,8766.85
14/02/2018,8693.25
15/02/2018,9659.29
16/02/2018,10110.84
17/02/2018,10474.77
18/02/2018,10855.94
19/02/2018,10537.01
20/02/2018,11416.04
21/02/2018,10928.02
22/02/2018,10727.95
23/02/2018,9809.72
24/02/2018,10412.37
25/02/2018,9585.29
26/02/2018,9627.72
27/02/2018,10272.90
28/02/2018,10903.02
03/01/2018,10352.05
03/02/2018,11100.29
03/03/2018,11305.12
03/04/2018,11171.82
03/05/2018,11558.48
03/06/2018,11246.75
03/07/2018,10735.89
03/08/2018,9552.76
03/09/2018,8980.19
03/10/2018,9251.29
03/11/2018,8680.61
03/12/2018,9433.47
13/03/2018,9047.51
14/03/2018,9260.71
15/03/2018,7895.99
16/03/2018,8039.60
17/03/2018,8206.56
18/03/2018,7667.99
19/03/2018,8189.49
20/03/2018,8597.34
21/03/2018,9028.30
22/03/2018,9023.72
23/03/2018,8411.65
24/03/2018,8881.99
25/03/2018,8548.81
26/03/2018,8429.33
27/03/2018,7854.64
28/03/2018,7863.26
29/03/2018,7866.36
30/03/2018,6861.33
31/03/2018,6970.36
04/01/2018,6926.88
04/02/2018,6986.84
04/03/2018,7182.12
04/04/2018,7295.89
04/05/2018,6769.48
04/06/2018,6766.59
04/07/2018,6854.92
04/08/2018,6964.43
04/09/2018,7125.54
04/10/2018,6789.27
04/11/2018,6824.49
04/12/2018,6941.64
13/04/2018,7823.56
14/04/2018,8040.88
15/04/2018,8083.57
16/04/2018,8160.41
17/04/2018,8030.57
18/04/2018,7937.61
19/04/2018,8188.72
20/04/2018,8333.81
21/04/2018,8866.67
22/04/2018,8830.06
23/04/2018,8868.16
24/04/2018,9191.82
25/04/2018,9373.30
26/04/2018,8807.52
27/04/2018,9153.64
28/04/2018,9144.38
29/04/2018,9444.14
30/04/2018,9268.72
05/01/2018,8949.88
05/02/2018,9029.48
05/03/2018,9228.85
05/04/2018,9572.70
05/05/2018,9817.60
05/06/2018,9845.54
05/07/2018,9326.76
05/08/2018,9424.99
05/09/2018,9039.03
05/10/2018,9327.05
05/11/2018,8920.26
05/12/2018,8408.36
13/05/2018,8442.24
14/05/2018,8398.86
15/05/2018,8711.39
16/05/2018,8159.26
17/05/2018,8360.23
18/05/2018,7996.82
19/05/2018,8237.34
